Title,Publisher,Valuable,Count,IDnum
Cat Café,Mandoo Games,TRUE,3,3445
Cat Lady,Aeg,TRUE,6,2751
Cat Rescue,Sunrise Tornado Game Studio,TRUE,1,2673
Catacombs & Castles,Elzra,TRUE,1,2370
Catan,Asmodee,TRUE,4,1389
Catan,Asmodee,TRUE,4,1389
Catan Histories: Settlers of America – Trails to Rails,Klaus Teuberttl02230i,TRUE,1,3254
Catan: Junior,Asmodee,TRUE,1,1776
Catch the Moon,Bombyx,TRUE,1,2346
Caveman Curling,Eagle-Gryphon Games,TRUE,1,146
Caverna: The Cave Farmers,Mayfair Games,TRUE,1,1181
Caylus,Space Cowboys,TRUE,3,3411
Celestia,Quick Simple Fun Games,TRUE,1,1895
Century: Golem Edition,Plan B Games,TRUE,1,2132
Ceylon,Ludonova,TRUE,2,2683
Chakra,Blam!,TRUE,1,3067
Champions of Midgard,Grey Fox Games,TRUE,2,1703
Cheer Up!,Cheer Up Games,TRUE,1,3487
Cheese Quest,White Toe Games,TRUE,2,3343
Chessplus: Pure Genius,Chess Plus,TRUE,1,3018
Chicago Poker,Phalanx Games,TRUE,1,162
Chimera & More,Eagle-Gryphon Games,TRUE,1,3143
Chocolate Factory,Alley Cat Games,TRUE,1,3398
Choose Your Own Adventure: House of Danger,Z-Man Games,TRUE,1,2377
Chop! Chop!,Djeco,TRUE,2,3020
Chopstick Dexterity MegaChallenge 3000,Mayday Games,TRUE,1,3258
Churrascaria: A Cutthroat Game of Gluttony,Absurdist Productions,TRUE,1,2801
Circular Reasoning: The Well of Power,Breaking Games,TRUE,1,2101
Cities: Skylines,Kosmos,TRUE,3,3406
City of Remnants,Plaid Hat Gamesttl1000z,TRUE,1,3132
City of the Big Shoulders: Burden of Destiny,Parallel,TRUE,2,2982
CIV: Carta Impera Victoria,Ludonaute,TRUE,1,2112
Clank!: A Deck-Building Adventure,Amigo Games,TRUE,1,3041
Clank! Legacy: Acquisitions Incorporated – Upper Management Pack,Renegade Game Studios,TRUE,2,2880
Clank!: A Deck-Building Adventure,Renegade Game Studios,TRUE,2,1962
Clans of Caledonia,Karma Games,TRUE,1,2041
ClipCut Parks,Renegade Game Studios,TRUE,7,3470
Cloudspire,Chip Theory Games,TRUE,1,3207
Clue: Game of Thrones,Usaopoly,TRUE,1,3174
Codenames,Czech Games,TRUE,1,2939
Codenames,Czech Games,TRUE,1,2939
Codenames,Czech Games,TRUE,1,2939
Codenames: Marvel,Usaopoly,TRUE,1,1897
Cogs and Commissars,Atlas Games,TRUE,2,2305
Coimbra,Eggertspiele,TRUE,1,2482
Collectors and Capers,Blue Heron,TRUE,1,2963
Coloma,Final Frontier Games,TRUE,3,3427
Colony,Bezier Games,TRUE,1,2483
Coloretto,Rio Grande Games,TRUE,1,182
Colorful,Jordan Draper Games,TRUE,1,3546
Colors of Paris,Super Meeple,TRUE,3,3421
Colt Express,Asmodee,TRUE,1,1263
Colt Express,Asmodee,TRUE,1,1263
Concept,Asmodee,TRUE,1,1669
Concept Kids: Animals,Repos Production,TRUE,3,2338
Concordia,Rio Grande Games,TRUE,1,3312
Condottiere,Z-Man Games,TRUE,2,2477
Confusion:  Espionage and Deception in the Cold War,Stronghold Games,TRUE,1,186
Convert,Breaking Games,TRUE,2,1434
Copenhagen,Queen,TRUE,1,3065
Cooper Island,Capstone Games,TRUE,3,3455
Coralia,Huch!,TRUE,1,3074
Corinth,Days Of Wonder,TRUE,2,3043
Cottage Garden,Stronghold Games,TRUE,1,1730
Counterfeiters,Quined Games,TRUE,1,2774
Coup,Indie Boards & Cards,TRUE,1,197
Courier,Hoot Games,TRUE,1,2797
Cover Me,Jumping Turtle Games,TRUE,1,2014
Covert,Renegade Game Studios,TRUE,1,1667
Cowboy Bebop: Boardgame Boogie,Jasco,TRUE,1,3370
Crap or Slap! What Would You Do?,Twilight Creations,TRUE,1,2925
Critical Mass: Raijin vs Archon,Arcane Wonders,TRUE,1,2532
Cartoon Network Crossover Crisis Deck-Building Game,Cryptozoic,TRUE,1,2618
Cartoon Network Crossover Crisis Deck-Building Game,Cryptozoic,TRUE,1,2618
Crosstalk,Nauvoo Games,TRUE,1,2565
Crown de Fleur,Centennial Games,TRUE,1,2799
Crown of Emara,Pegasus Spiele,TRUE,2,2491
Crumbs,Tidbit Games,TRUE,1,2909
Cryptid,Osprey Games,TRUE,1,2430
Crystal Clans,Plaid Hat Games,TRUE,1,2124
Crystal Palace,Capstone Games,TRUE,3,3452
Crystallo,Zafty Games,TRUE,3,3557
Cubissimo,Djeco,TRUE,2,3021
Cubissimo,Djeco,TRUE,2,3021
Cuisine a la Card,Inmotion,TRUE,2,1347
Cult Following,Win Go,TRUE,1,3540
Curios,Aeg,TRUE,1,2996
Curli Kuller,Pegasus Spiele,TRUE,1,2498
Cursed Court,Atlas Games,TRUE,1,1739
Custom Heroes,Aeg,TRUE,1,1869
Cutthroat Caverns,Smirk & Dagger Games,TRUE,1,205
CV,Granna,TRUE,1,3572
CV,Granna,TRUE,1,3572
Dadaocheng,Soso Games,TRUE,1,3415
Dadaocheng,Soso Games,TRUE,1,3415
Danger the Game,Origami Whale,TRUE,2,3355
Danger the Game,Origami Whale,TRUE,2,3355
Daring Contest,Unstable Games,TRUE,1,2904
Dark Moon,Stronghold Games,TRUE,1,1807
Darkest Night,Victory Point Games,TRUE,1,2994
Darkness,Green Meadown Games,TRUE,2,2894
Dead Fellas,Ninja Division,TRUE,1,1198
Dead Last,Smirk & Dagger Games,TRUE,1,1926
Dead of Winter: A Crossroads Game,Plaid Hat Games,TRUE,1,1558
Death Wish,Zafty Games,TRUE,1,1805
Deception: Murder in Hong Kong,Grey Fox Games,TRUE,5,2062
Deep Blue,Days Of Wonder,TRUE,4,2991
Deep Sea Adventure,Oink Games,TRUE,2,2425
Pit,Winning Moves Games,TRUE,1,3045
Descent: Journeys in the Dark (Second Edition),Fantasy Flight Games,TRUE,1,1833
Destination X,Aporta Games,TRUE,1,2955
Detective Club,Blue Orange Games,TRUE,2,3060
Diamonds,Stronghold Games,TRUE,1,1685
Dice Settlers,Nskn Games,TRUE,2,2529
Dice Throne: Season One,Roxley Games,TRUE,1,2209
Dice Throne: Season One,Roxley Games,TRUE,1,2209
Dice Throne: Season Two - Battle Chest,Roxley Games,TRUE,2,2588
Dice Throne: Season Two – Gunslinger v. Samurai,Roxley Games,TRUE,1,2965
The Crew,Kosmos,TRUE,2,3434
Die Inseln im Nebel,Schmidt Spiele,TRUE,1,3429
Die Macher,Spielworxx,TRUE,1,3419
Dig Dog Dig,Flying Meeple,TRUE,1,3567
Dino Dude Ranch,Letiman Games,TRUE,1,3078
Dino Party,Ankama,TRUE,1,2189
Dinosaur Island,Pandasaurus,TRUE,1,2111
Diplomacy,Avalon Hill,TRUE,1,220
Discount Salmon,Water Bear Games,TRUE,2,1394
Discover: Lands Unknown,Fantasy Flight Games,TRUE,2,2440
Discoveries: The Journals of Lewis and Clark,Ludonaute,TRUE,1,3266
Discworld: Ankh-Morpork,Mayfair Games,TRUE,1,1030
Divinity Derby,Ares Games,TRUE,1,1929
Dixit,Libellud,TRUE,1,2988
Dixit,Libellud,TRUE,1,2988
Doctor Who: Time of the Daleks,Gale Force Nine,TRUE,1,2178
Dojo Kun,Yemaia,TRUE,1,1691
Dominion,Rio Grande Games,TRUE,6,228
Dominion,Rio Grande Games,TRUE,1,3484
Doodle Quest,Blue Orange Games,TRUE,1,1786
Doodle Rush,Brain Games,TRUE,2,3227
Double Feature,Renegade Game Studios,TRUE,2,1272
Downforce,Restoration Games,TRUE,1,1956
